Model,Layer,G,N,K,weight_bytes,weight_MiB,moe_layers,total_layers,model_weight_GiB,transposed_copy_GiB,pct_of_HBM,alloc_check_MiB
gpt-oss-20b,fc1,4,5760,2880,132710400,126.56,,,,,,
gpt-oss-20b,fc2,4,2880,2880,66355200,63.28,,,,,,
gpt-oss-20b,BOTH,4,0,0,199065600,189.84,24.0,24.0,4.45,4.45,1.03,192.0
qwen3-30b-a3b,fc1,16,4096,2048,268435456,256.0,,,,,,
qwen3-30b-a3b,fc2,16,2048,2048,134217728,128.0,,,,,,
qwen3-30b-a3b,BOTH,16,0,0,402653184,384.0,48.0,48.0,18.0,18.0,4.17,384.0
qwen3-235b-a22b,fc1,16,8192,4096,1073741824,1024.0,,,,,,
qwen3-235b-a22b,fc2,16,4096,4096,536870912,512.0,,,,,,
qwen3-235b-a22b,BOTH,16,0,0,1610612736,1536.0,94.0,94.0,141.0,141.0,32.64,1536.0
deepseek-v3,fc1,32,4096,7168,1879048192,1792.0,,,,,,
deepseek-v3,fc2,32,7168,2048,939524096,896.0,,,,,,
deepseek-v3,BOTH,32,0,0,2818572288,2688.0,58.0,61.0,152.25,152.25,35.24,2688.0
